"model"	"method"	"auc"	"Specificity"	"Sensitivity"	"Accuracy"
"C5"	"test"	0.931372549019608	0.814814814814815	0.911764705882353	0.131147540983607
"C5"	"train"	1	1	1	0
"C5"	"val"	0.854285714285714	1	0.371428571428571	0.366666666666667
"EXTRATREES"	"test"	0.934640522875817	0.703703703703704	0.882352941176471	0.19672131147541
"EXTRATREES"	"train"	1	1	1	0
"EXTRATREES"	"val"	0.869714285714286	0.88	0.571428571428571	0.3
"GFS"	"test"	0.946623093681917	0.851851851851852	0.970588235294118	0.918032786885246
"GFS"	"train"	0.921172795001202	0.87719298245614	0.945205479452055	0.915384615384615
"GFS"	"val"	0.946285714285714	0.76	0.971428571428571	0.883333333333333
"GLM"	"test"	0.567538126361656	0.37037037037037	0.470588235294118	0.573770491803279
"GLM"	"train"	0.581951453977409	0.456140350877193	0.342465753424658	0.607692307692308
"GLM"	"val"	0.642857142857143	0	0.714285714285714	0.583333333333333
"GLMNETLasso"	"test"	0.888888888888889	0.740740740740741	0.794117647058824	0.229508196721311
"GLMNETLasso"	"train"	0.996635424176881	1	0.972602739726027	0.0153846153846154
"GLMNETLasso"	"val"	0.813714285714286	0.84	0.514285714285714	0.35
"GLMNETRidge"	"test"	0.922657952069717	0.777777777777778	0.852941176470588	0.180327868852459
"GLMNETRidge"	"train"	0.90675318433069	0.807017543859649	0.904109589041096	0.138461538461538
"GLMNETRidge"	"val"	0.856	0.8	0.714285714285714	0.25
"KNN"	"test"	0.904684095860566	0.703703703703704	0.852941176470588	0.213114754098361
"KNN"	"train"	0.884162460946888	0.771929824561404	0.89041095890411	0.161538461538462
"KNN"	"val"	0.848	0.8	0.714285714285714	0.25
"LDA"	"test"	0.594226579520697	0.518518518518519	0.558823529411765	0.459016393442623
"LDA"	"train"	1	1	1	0
"LDA"	"val"	0.465142857142857	0.32	0.914285714285714	0.333333333333333
"NB"	"test"	0.893246187363834	0.814814814814815	0.823529411764706	0.180327868852459
"NB"	"train"	0.954698389810142	0.87719298245614	0.917808219178082	0.1
"NB"	"val"	0.769142857142857	0.84	0.485714285714286	0.366666666666667
"NNET"	"test"	0.922657952069717	0.777777777777778	0.852941176470588	0.180327868852459
"NNET"	"train"	0.903869262196587	0.807017543859649	0.904109589041096	0.138461538461538
"NNET"	"val"	0.851428571428571	0.8	0.714285714285714	0.25
"PAM"	"test"	0.90958605664488	0.62962962962963	0.852941176470588	0.245901639344262
"PAM"	"train"	0.892573900504686	0.771929824561404	0.917808219178082	0.146153846153846
"PAM"	"val"	0.843428571428571	0.8	0.771428571428571	0.216666666666667
"RF"	"test"	0.93681917211329	0.851851851851852	0.882352941176471	0.131147540983607
"RF"	"train"	1	1	1	0
"RF"	"val"	0.866857142857143	0.88	0.628571428571429	0.266666666666667
"RPART"	"test"	0.840958605664488	0.740740740740741	0.941176470588235	0.147540983606557
"RPART"	"train"	0.830088920932468	0.824561403508772	0.835616438356164	0.169230769230769
"RPART"	"val"	0.817142857142857	0.92	0.714285714285714	0.2
"SVMLIN"	"test"	0.931372549019608	0.703703703703704	0.911764705882353	0.180327868852459
"SVMLIN"	"train"	0.925258351357847	0.824561403508772	0.917808219178082	0.123076923076923
"SVMLIN"	"val"	0.872	0.8	0.771428571428571	0.216666666666667
"SVMRAD"	"test"	0.912854030501089	0.888888888888889	0.823529411764706	0.147540983606557
"SVMRAD"	"train"	0.967075222302331	0.964912280701754	0.89041095890411	0.0769230769230769
"SVMRAD"	"val"	0.794285714285714	1	0.028571428571429	0.566666666666667
