sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
GHL7_combined_61bp	0.00035582796129935	0.0293856748933377	0.119568405455126	0.0239642399662259	3.75180214358331e-05	6.16804260160073e-05	0.000186793828598613	5.12827959961731e-05	2.45416182064392e-05	7.78868813539996e-05	8.39791076873527e-05	0.164040658876266	8.84471946354826e-05	0.198607256840282	0.124817158917727	0.0311215425435939	0.0782017846619405	6.9171202629669e-05	0.000138812569670241	8.44729070692853e-05	5.44091921545758e-05	3.83653391859026e-05	2.80412443019523e-05	0.0123951260517808	0.164749730117784	4.59490643699364e-05	6.80399530154446e-05	4.33772828052469e-05	4.1370141956505e-05	6.15055162248005e-05	4.09802776277922e-05	3.56601981551491e-05	0.0404849350030472	7.02071804517473e-05	6.27450932349587e-05	0.000585323440475149	4.34167262517508e-05	5.02585573858012e-05	4.49596295297249e-05	4.83251213516232e-05	0.0100401381998124
GHL9_combined_61bp	0.00123962877550739	0.0153938863798518	0.0918083836692355	0.0291950269253905	3.26519270294939e-05	0.00129570315544426	0.000995685854069016	4.64869642106522e-05	2.06107974690873e-05	4.28890297053307e-05	8.46231222885323e-05	0.134694729840019	0.0913290328774317	0.217144273059951	0.10956507514856	0.0144217323749527	0.0524210102013041	4.56285425267563e-05	0.000504837189582737	0.00177410934900937	3.8650554861988e-05	2.76810203103079e-05	2.79111569305366e-05	0.0199806180544423	0.162241425294444	3.5224557777186e-05	5.03425927153869e-05	3.50889542964759e-05	4.85516786589565e-05	4.32265489711817e-05	4.0750765027439e-05	2.76045468681662e-05	0.0439342641150874	4.10870894770727e-05	7.44845268316316e-05	0.00186008438728428	4.15753251425998e-05	5.21623631106796e-05	2.99989407986236e-05	0.000522649685806878	0.008790612657619
GHL13_combined_61bp	0.00564814541291169	0.0152299361208342	0.172569870695671	0.00695474227575933	1.7661042003572e-05	6.72356185634742e-05	2.09046880905847e-05	2.99621663983894e-05	1.03588361313059e-05	3.12578073022418e-05	4.6108146647231e-05	0.15307207117847	0.0153679598507514	0.119509967225336	0.17112571487926	0.00594778422579438	0.126802183687538	4.73854351399773e-05	3.47561300269108e-05	0.00158619337437188	2.49024281862429e-05	1.42607989601207e-05	1.6304929759816e-05	0.012512301752595	0.133329153599246	3.43129446767467e-05	1.96589334875173e-05	1.79753883636759e-05	1.84406180598959e-05	2.21723696916931e-05	1.71304767577764e-05	1.75962914475317e-05	0.0585288366799728	5.81112117513861e-05	7.08019408658209e-05	0.000525125933353781	2.97862540869305e-05	5.1114567474087e-05	4.92987042659959e-05	0.00015221017607563	0.000370305203920435
GHL16_combined_61bp	0.00310359317038628	0.0378492232048742	0.146010806506646	8.95093279274414e-05	2.22898381060997e-05	2.21870992665758e-05	3.11189989411101e-05	2.27289770668376e-05	1.04598583006747e-05	3.24662540763588e-05	7.17318424673372e-05	0.0788667089673418	0.111778612482953	0.164982208895339	0.0417797110908736	8.19527102071279e-05	0.135098954846166	3.57391752427843e-05	0.0084252800905546	0.000147812323223071	2.19465845725379e-05	1.50369228211721e-05	1.36093952976231e-05	0.00765518440062643	0.212129938267269	1.53314094912538e-05	1.98965564263206e-05	1.45758504509197e-05	2.08149054208219e-05	2.42217514182072e-05	1.73647799756747e-05	1.59309588760697e-05	0.0233766229198011	2.73526782072746e-05	0.000460824740707588	3.08155434038775e-05	2.49556295788688e-05	1.90107198099794e-05	3.37253078407476e-05	6.87478748762174e-05	0.0275309971431681
GHL17_combined_61bp	0.000264625956362153	0.021731749203522	0.146928646184629	0.00889908408104122	1.22919516467052e-05	2.87034372423866e-05	3.0758814904485e-05	1.66697319651551e-05	9.00843596085165e-06	1.57598860913488e-05	1.68117094271853e-05	0.193082614038987	0.0731484882099221	0.102193869015866	0.0763330730046674	0.0112862473135565	0.0557550516180831	3.6095985918295e-05	1.53073794366509e-05	0.0034485351650463	1.5270476673244e-05	1.0712878028881e-05	1.22133831458736e-05	0.0123343017560561	0.245493396835649	1.73563905085034e-05	1.25532108553771e-05	1.43019086697328e-05	1.45297112793471e-05	2.05460242162812e-05	1.27499460051183e-05	1.32772186466087e-05	0.0331120401078955	1.70527979209191e-05	3.07821798592718e-05	0.000405387035475266	1.89315280832722e-05	2.03702193280043e-05	2.08327092463956e-05	2.79417192923547e-05	0.0151220608388881
GHL19_combined_61bp	6.86958656278447e-05	0.0260112840775688	0.0934460065481228	0.0377818307409467	2.7019854719747e-05	8.48384712337269e-05	8.58333553051764e-05	3.93368416400725e-05	1.6189398159664e-05	3.92323255634475e-05	3.8019658782814e-05	0.218202900397601	0.000287502208784796	0.201766563551677	0.0729720256252052	0.0190586622543353	0.0896368253206516	4.88509570145527e-05	0.000322059018506581	0.000128076815400344	3.32293602232856e-05	1.87978404818715e-05	1.61016714618416e-05	0.0214243680159483	0.167381806650871	2.91763228118755e-05	3.44899579574531e-05	3.50930614556613e-05	3.10995980885799e-05	3.44570896573641e-05	3.09354021486146e-05	1.86968617886225e-05	0.0411946695710625	4.16361539212174e-05	8.21010303980181e-05	0.00115840981050702	2.50256376771964e-05	4.41257807608377e-05	3.61892725389132e-05	0.000331389959129826	0.00793644766426412
GHL22_combined_61bp	4.80785963642655e-05	0.114802901652946	0.0668884396615327	0.0111166984136709	3.87673748037006e-05	0.000517677742453232	5.50158953849121e-05	4.52086956776473e-05	1.36895648240844e-05	3.83818086575773e-05	3.17461064388472e-05	0.182765592466049	0.0030833258819903	0.135606401213655	0.0620225783811214	0.0455011497067865	0.0987323431099003	5.76136572651021e-05	4.10062667477638e-05	0.00017393105004479	3.28228531399989e-05	1.71378665924209e-05	1.79029918272151e-05	0.00967965231367936	0.183684209390225	3.41570057031014e-05	4.79761216122893e-05	5.47789671253386e-05	3.45097019137338e-05	3.33409768397197e-05	3.91411507587618e-05	4.3779119177013e-05	0.0415539206765592	4.17170683734296e-05	7.37743124515468e-05	0.00415241513093055	4.14314536267865e-05	4.48999085971195e-05	4.21383284306079e-05	0.000605938874345463	0.0381438085417778
GHL27_combined_61bp	3.64268992934671e-05	0.0973323713937229	0.167507568132455	0.0281348092576262	1.73644437963255e-05	7.85008493101128e-05	5.95043875930143e-05	2.16288629068643e-05	1.1889907076726e-05	2.98392795879326e-05	2.64697830534835e-05	0.11447470158126	0.0247718373221412	0.155763896895997	0.0684392687104261	0.0405425524639589	0.0895553187556197	3.67125948803367e-05	7.08303069478317e-05	0.000864765434154409	2.58714036437657e-05	1.63331168932444e-05	1.34704354615185e-05	0.00885666827962934	0.153486178047054	2.80419510721714e-05	3.58654317530984e-05	2.2027150643202e-05	2.8787636120911e-05	2.80159964002207e-05	2.35121644698489e-05	1.89668874557253e-05	0.0319966512981463	3.35058251654812e-05	7.76068826652742e-05	0.000249986305928807	2.83048865170675e-05	9.7413981606922e-05	2.29733845745254e-05	7.75373535227471e-05	0.0170560243194685
GHL34_combined_61bp	0.000465654859891681	0.0784268378366808	0.162050330254985	0.000115454099673295	2.02296088026944e-05	0.000112508777953014	9.80949944002295e-05	2.41559943065953e-05	1.28358088228415e-05	3.58930698584348e-05	0.000148394731315505	0.0734919426874169	0.143611853174651	0.0538273362317604	0.0752611627467654	0.00868891578020696	0.115169159096842	4.03421267794202e-05	2.25307177596975e-05	0.00172937640341363	1.94111457865478e-05	1.3410366499356e-05	1.66345741565799e-05	0.00329159354837492	0.240460887207116	1.91674389422961e-05	4.85156135177476e-05	2.15164526875147e-05	1.90000852273681e-05	3.51018826092696e-05	1.63030924306938e-05	1.47707509581274e-05	0.02872108088489	3.52784964485892e-05	0.000867021087211341	0.000346872412242414	4.49895907594631e-05	3.89152432323559e-05	1.76169074905133e-05	0.000983665619514898	0.0116152385976173
GHL36_combined_61bp	0.0013423938184343	0.0888009406753059	0.293419038442093	0.00216448987800554	1.21891556021049e-05	1.35695780546712e-05	3.75384085515696e-05	2.90891285879789e-05	7.9530297196728e-06	3.34714450625497e-05	1.56712162271529e-05	0.0222653469121311	0.175438177935111	0.035291065316337	0.107304114600361	0.0240543937315845	0.0828116338427352	2.94101990212586e-05	0.00110953133151103	0.000189975431835616	3.87468631844723e-05	1.1462660849833e-05	1.30251368731136e-05	0.000133513958565572	0.110177718510375	1.34717057603426e-05	1.27938975130548e-05	1.76489494339611e-05	1.7668046537449e-05	1.57590411736205e-05	1.62316592527142e-05	1.30099582195795e-05	0.0198913350469917	2.24268679385262e-05	9.54980325655863e-05	2.9965288360861e-05	3.36448979287672e-05	3.34953665261997e-05	2.01672449567241e-05	5.89721352888789e-05	0.034963450655432
