Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neutrophil degranulation	2.58E01	1.24E-01	6.900	ABCA13,AGA,ALDOA,ARG1,AZU1,BPI,C3AR1,CAMP,CDA,CEACAM1,CEACAM3,CEACAM6,CEACAM8,CHIT1,CLEC4D,CLEC5A,CST3,CTSD,CTSG,CYB5R3,CYSTM1,DEFA1 (includes others),DEFA4,DYNLT1,ELANE,FCER1G,FCGR2A,FCGR3A/FCGR3B,FPR1,GPI,HPSE,HSPA1A/HSPA1B,HSPA6,KRT1,LRG1,LTF,LYZ,MMP8,MPO,MS4A3,OLFM4,ORM1,PADI2,PGLYRP1,PKM,PRTN3,QSOX1,RETN,RNASE2,S100A12,S100A8,S100A9,S100P,SERPINB10,SLC2A5,SLPI,TCN1,TNFAIP6,TTR	
Amyloid fiber formation	9.05E00	1.92E-01	2.673	APOA4,CST3,FGA,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,LTF,LYZ,PSENEN,SAA1,TTR,UBE2L6	
Transcriptional regulation of granulopoiesis	7.81E00	2.16E-01	2.530	CEBPE,E2F1,GFI1,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,KLF5,LEF1,MYB	
Interferon alpha/beta signaling	6.25E00	1.55E-01	3.317	GBP2,HLA-A,IFI35,IFIT2,IFIT3,IFITM2,IFITM3,IRF1,SOCS1,SOCS3,STAT1	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	6.16E00	5.56E-01	2.236	APOBEC3A,APOBEC3B,CDA,TK1,TYMP	
LXR/RXR Activation	6.09E00	1.14E-01	-0.577	ALB,APOA4,CETP,FGA,IL18,LPL,LYZ,MSR1,ORM1,S100A8,SAA1,SAA2,SERPINF1,TTR	
Interferon Signaling	5.94E00	2.22E-01	2.121	IFI35,IFIT3,IFITM2,IFITM3,IRF1,SOCS1,STAT1,TAP1	
Cell Cycle Checkpoints	5.91E00	7.72E-02	4.583	BIRC5,BUB1B,CCNA2,CCNB2,CDC25A,CDK1,CENPA,CHEK1,EXO1,GTSE1,H2AX,H2BC13,H2BC14,H2BC17,KIF2C,NUF2,PLK1,PSMB9,PSME2,SKA1,SPC24	
Nucleosome assembly	5.86E00	1.84E-01	2.333	CENPA,CENPW,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,HJURP,RUVBL1	
Interferon gamma signaling	5.83E00	1.28E-01	3.464	FCGR1A,FCGR1BP,GBP1,GBP2,GBP4,GBP5,GBP6,HLA-A,IRF1,SOCS1,SOCS3,STAT1	
DNA Damage/Telomere Stress Induced Senescence	5.36E00	1.61E-01	3.000	CCNA2,H1-5,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,HMGA2,LMNB1	
Regulation of TLR by endogenous ligand	5.27E00	2.86E-01	2.449	FGA,FGB,S100A8,S100A9,SFTPA1,SFTPA2	
Acute Phase Response Signaling	5.27E00	8.65E-02	1.414	ALB,C1QA,C1QB,C1QC,CRP,FGA,FGB,IL18,ORM1,SAA1,SAA2,SERPINF1,SERPING1,SOCS1,SOCS3,TTR	
Macrophage Classical Activation Signaling Pathway	5.15E00	8.47E-02	1.500	BPI,CLCF1,CXCL10,CXCL8,CXCL9,GBP2,GBP4,IL18,IL23A,IRF1,PKM,SOCS1,SOCS3,STAT1,TNFSF10,TNFSF13B	
Kinetochore Metaphase Signaling Pathway	5.11E00	1.09E-01	1.897	BIRC5,BUB1B,CDK1,CENPA,CENPW,H2AX,KIF2C,NUF2,PLK1,PTTG1,SKA1,SPC24	
Antimicrobial peptides	5.02E00	2.06E-01	2.646	ATOX1,BPI,CAMP,LTF,PRTN3,S100A8,S100A9	
Airway Pathology in Chronic Obstructive Pulmonary Disease	4.8E00	1.02E-01	NaN	CLCF1,CTSG,CXCL8,ELANE,IL18,IL23A,MMP8,MPO,ORM1,PRTN3,TNFSF10,TNFSF13B	
DNA methylation	4.68E00	2.31E-01	2.449	H2AC14,H2AX,H2BC13,H2BC14,H2BC17,UHRF1	
Estrogen-mediated S-phase Entry	4.68E00	2.31E-01	1.633	CCNA2,CCND1,CDC25A,CDK1,E2F1,E2F8	
Interleukin-4 and Interleukin-13 signaling	4.38E00	1E-01	0.905	BIRC5,CCND1,CXCL8,IL18,IL23A,POMC,SAA1,SOCS1,SOCS3,STAT1,ZEB1	
Response to elevated platelet cytosolic Ca2+	4.31E00	9.09E-02	2.309	ALB,ALDOA,CTSW,ECM1,FGA,FGB,IGF2,LGALS3BP,ORM1,QSOX1,SERPING1,SPARC	
Neutrophil Extracellular Trap Signaling Pathway	4.28E00	5.74E-02	1.460	BPI,C1QA,C1QB,C1QC,CAMP,CASP5,COL17A1,CTSG,CXCL8,DEFA1 (includes others),DEFA4,ELANE,FCGR3A/FCGR3B,FPR1,LTF,MPO,NCF1,ORAI3,PLB1,PLCL1,PRTN3,SLC2A1,TSPO	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.12E00	1.14E-01	0.333	BIRC5,CCND1,CLCF1,CRP,IRF1,POMC,SOCS1,SOCS3,STAT1	
DHCR24 Signaling Pathway	4.09E00	8.63E-02	0.577	ALB,APOA4,CETP,FGA,KLF5,ORM1,POMC,SAA1,SAA2,SERPINF1,THRB,TTR	
S100 Family Signaling Pathway	4.02E00	4.53E-02	1.859	APLNR,C3AR1,CACNG2,CNR2,CREB5,CTSD,CXCL8,DEFA1 (includes others),DEFA4,FCGR1A,FCGR2A,FCGR3A/FCGR3B,FFAR2,FGFRL1,FPR1,GPR183,GPR68,IL18,IL23A,LEF1,MMP8,NCF1,P2RY13,P2RY14,P2RY6,PLCL1,PRKAR1B,PTGDR2,S100A12,S100A8,S100A9,S100P,S1PR2,SERPINF1,TCF7	
Surfactant metabolism	3.85E00	2.17E-01	2.236	SFTPA1,SFTPA2,SFTPB,SFTPC,SLC34A2	
Multiple Sclerosis Signaling Pathway	3.74E00	6.76E-02	1.807	C1QA,C1QB,C1QC,CLCF1,CXCL8,GRIN3A,HLA-A,IL18,IL23A,IL7R,IRF1,MPO,STAT1,TNFSF10,TNFSF13B	
Mitotic G1 phase and G1/S transition	3.69E00	8.4E-02	2.714	CCNA2,CCND1,CDC25A,CDK1,DHFR,E2F1,PSMB9,PSME2,RRM2,TK1,TYMS	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	3.62E00	8.93E-02	2.530	CCNA2,CHEK1,EME1,EME2,EXO1,H2AX,H2BC13,H2BC14,H2BC17,RAD51	
Pyroptosis Signaling Pathway	3.57E00	9.68E-02	2.333	AIM2,CASP5,GBP1,GBP2,GBP4,GBP5,IL18,NLRC4,PRKAR1B	
Cachexia Signaling Pathway	3.5E00	5.43E-02	3.130	ALB,CASP5,CLCF1,CRP,CXCL8,FGA,FGB,HSPA1A/HSPA1B,HSPA6,IL18,LPL,MALAT1,POMC,PRKAR1B,PSMB9,PSME2,SOCS3,STAT1,TNFSF10,TNFSF13B	
Pre-NOTCH Expression and Processing	3.49E00	1.05E-01	2.121	CCND1,E2F1,H2AC14,H2AX,H2BC13,H2BC14,H2BC17,ST3GAL4	
